epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,7684.91,1.24123,0.47556,1.235,0.98753,0.98883,0.99374,0.72229,1.17873,0.43504,1.16762,0.000232187,0.000232187,0.000232187
109,7757.59,1.23741,0.47337,1.24126,0.98758,0.98883,0.99376,0.72182,1.17614,0.43516,1.16639,0.00022688,0.00022688,0.00022688
110,7829.11,1.2282,0.47381,1.22951,0.98756,0.98883,0.99377,0.72233,1.1742,0.43378,1.16592,0.000221573,0.000221573,0.000221573
111,7901.15,1.2421,0.48039,1.23633,0.98782,0.98936,0.99425,0.72047,1.17279,0.4336,1.1657,0.000216267,0.000216267,0.000216267
112,7985.08,1.23533,0.47369,1.23537,0.9885,0.98989,0.99439,0.72018,1.17221,0.4336,1.16505,0.00021096,0.00021096,0.00021096
113,8058.07,1.23569,0.47131,1.22733,0.98778,0.98867,0.99375,0.72097,1.17138,0.43313,1.16433,0.000205653,0.000205653,0.000205653
114,8130.07,1.23706,0.47652,1.23578,0.98671,0.98759,0.99279,0.72137,1.17293,0.43358,1.16471,0.000200347,0.000200347,0.000200347
115,8200.55,1.22066,0.46634,1.23886,0.98777,0.98842,0.99366,0.72242,1.17281,0.43193,1.16457,0.00019504,0.00019504,0.00019504
116,8271.01,1.23381,0.47016,1.23421,0.98883,0.98915,0.99432,0.7229,1.17138,0.43219,1.16364,0.000189733,0.000189733,0.000189733
117,8343.11,1.22389,0.46889,1.22173,0.9883,0.98879,0.99432,0.72418,1.16997,0.43203,1.16325,0.000184427,0.000184427,0.000184427
118,8413.24,1.21601,0.46606,1.22821,0.98778,0.98851,0.99434,0.72412,1.16747,0.4321,1.1626,0.00017912,0.00017912,0.00017912
119,8483.87,1.20946,0.46576,1.20975,0.98671,0.98748,0.99412,0.72397,1.16821,0.43199,1.16247,0.000173813,0.000173813,0.000173813
120,8555.41,1.22412,0.47033,1.22482,0.98778,0.98903,0.99413,0.72477,1.16842,0.43156,1.16185,0.000168507,0.000168507,0.000168507
121,8625.76,1.20672,0.463,1.21934,0.98778,0.98898,0.99416,0.72585,1.16634,0.43113,1.16065,0.0001632,0.0001632,0.0001632
122,8697.98,1.2249,0.46686,1.22453,0.98778,0.98928,0.99418,0.72564,1.1663,0.42983,1.16042,0.000157893,0.000157893,0.000157893
123,8769.44,1.21763,0.46427,1.22488,0.9883,0.98989,0.99438,0.72428,1.1671,0.43051,1.16032,0.000152587,0.000152587,0.000152587
124,8840.51,1.21272,0.4627,1.22373,0.98773,0.98936,0.99437,0.72445,1.16761,0.43028,1.15969,0.00014728,0.00014728,0.00014728
125,8913.17,1.21649,0.46514,1.22997,0.98865,0.98989,0.99438,0.72337,1.16609,0.42917,1.15919,0.000141973,0.000141973,0.000141973
126,8986,1.20775,0.46185,1.21782,0.98884,0.98948,0.99439,0.72461,1.16549,0.42915,1.15912,0.000136667,0.000136667,0.000136667
127,9057.51,1.22298,0.46737,1.222,0.9886,0.9883,0.99419,0.72524,1.16602,0.42886,1.15931,0.00013136,0.00013136,0.00013136
128,9131.93,1.20994,0.46394,1.22455,0.98917,0.9883,0.99419,0.7254,1.16564,0.42875,1.15894,0.000126053,0.000126053,0.000126053
129,9203.98,1.21282,0.46581,1.21485,0.98963,0.9883,0.9942,0.72515,1.1649,0.42967,1.15855,0.000120747,0.000120747,0.000120747
130,9273.76,1.20949,0.46436,1.2209,0.99015,0.98883,0.99438,0.72484,1.16474,0.42998,1.15801,0.00011544,0.00011544,0.00011544
131,9344.23,1.15755,0.43248,1.24937,0.99008,0.98883,0.99438,0.72598,1.16382,0.43038,1.15751,0.000110133,0.000110133,0.000110133
132,9414.84,1.15427,0.43083,1.24358,0.99041,0.98877,0.99438,0.7264,1.16454,0.43006,1.15746,0.000104827,0.000104827,0.000104827
133,9485.67,1.1481,0.43077,1.24221,0.99041,0.98878,0.99439,0.7257,1.16323,0.42962,1.15727,9.952e-05,9.952e-05,9.952e-05
134,9556.85,1.15308,0.43165,1.24489,0.99037,0.98883,0.99439,0.72529,1.16249,0.43037,1.15645,9.42133e-05,9.42133e-05,9.42133e-05
135,9629,1.15395,0.43049,1.24152,0.98971,0.9883,0.99422,0.72528,1.16222,0.43033,1.15606,8.89067e-05,8.89067e-05,8.89067e-05
